odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
78036.0,2011.0,17749.70385073442,6089617296.0,156930396.0,1385115889.6959112,4044121.0,35694654.443826914,315051986.7887763,475209375310656.0,12246220382256.0,108088903568310.12,315587026356.0,2785468054178.477,24585396841048.945,8132727331.0,71781950086.53592,633569545432.2291,5592079463086.271
105277.0,2008.0,13234.48772763262,11083246729.0,211396216.0,1393287164.5019794,4032064.0,26574851.3570863,175151665.41285846,1166810965888933.0,22255159431832.0,146681092817274.88,424483601728.0,2797720626319.9746,18439441879669.5,8096384512.0,53362301525.02929,351704544149.0198,2318042566380.89
114457.0,2013.0,16672.748792270533,13100404849.0,230401941.0,1908312808.5169084,4052169.0,33562243.318840586,277980552.2901585,1499433037801993.0,26371114961037.0,218419759124419.78,463799107233.0,3841433683544.537,31816820073474.67,8157016197.0,67560795800.826096,559574851760.0891,4634699917470.437
129974.0,2011.0,15677.805489260143,16893240676.0,261377714.0,2037707090.6610978,4044121.0,31528066.83890215,245793584.95907548,2195682063622424.0,33972306999436.0,264848941401585.53,525630582854.0,4097828959319.468,31946775411470.875,8132727331.0,63402942413.03222,494290899352.7008,3853504015496.3228
166000.0,2005.0,15497.921402018057,27556000000.0,332830000.0,2572654952.7349973,4020025.0,31073332.411046203,240185567.78312933,4574296000000000.0,55249780000000.0,427060722154009.56,667324150000.0,5158173180233.67,39870804251999.47,8060150125.0,62302031484.14764,481572063405.1743,3722377051402.019
167604.0,2009.0,13234.48772763262,28091100816.0,336716436.0,2218153081.1021376,4036081.0,26588085.844813935,175151665.41285846,4708180861164864.0,56435021539344.0,371771329005042.7,676463319924.0,4456269539934.195,29356119729856.73,8108486729.0,53415464462.23119,351879695814.4326,2318042566380.89
158000.0,2005.0,82486.16280295048,24964000000.0,316790000.0,13032813722.866177,4020025.0,165384756.4199157,6803967053.954851,3944312000000000.0,50052820000000.0,2059184568212856.0,635163950000.0,26130791514346.68,1075026794524866.5,8060150125.0,331596436621.93097,13641953943179.477,561233134118431.2
65738.0,2012.0,17976.194444444445,4321484644.0,132264856.0,1181719070.3888888,4048144.0,36168103.222222224,323143566.70447534,284085757527272.0,8694827103728.0,77683848249224.78,266116890272.0,2377618769622.4443,21242811788018.8,8144865728.0,72770223683.11111,650164856209.4044,5808891588550.953
35793.0,2016.0,19990.62055641422,1281138849.0,72158688.0,715524281.5757341,4064256.0,40301091.04173107,399624910.23053074,45855802822257.0,2582775919584.0,25610760610440.254,145471915008.0,1442496951656.6802,14303774411881.387,8193540096.0,81246999540.12984,805643819024.75,7988749945309.635
98879.0,2013.0,18771.65240378704,9777056641.0,199043427.0,1856122218.0340588,4052169.0,37787336.288823314,352374933.9686038,966745583605439.0,19681215018333.0,183531508796989.7,400674418551.0,3736374024902.5605,34842481095881.574,8157016197.0,76065907949.40134,709330742078.7994,6614659776266.041
30567.0,2018.0,18997.989561586637,934341489.0,61684206.0,580711546.9290187,4072324.0,38337942.935281835,360923607.3821548,28560016294263.0,1885501124802.0,17750609854979.316,124478727708.0,1171875901702.7598,11032351906850.326,8217949832.0,77365968843.39874,728343839697.1885,6856822925576.371
